Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Majorstuen,59.9291529,10.7153089,Meny,59.92627663176534,10.720092194182412,Grocery Store
Majorstuen,59.9291529,10.7153089,Starbucks,59.92843704347597,10.716877081773399,Coffee Shop
Majorstuen,59.9291529,10.7153089,Oktoberfest Chateau Neuf,59.932268866441355,10.712985890895515,Beer Garden
Majorstuen,59.9291529,10.7153089,Espresso House,59.92903202616131,10.717238842531447,Café
Majorstuen,59.9291529,10.7153089,Subway,59.92750156050285,10.71983284884027,Sandwich Place
Majorstuen,59.9291529,10.7153089,The Broker,59.9262568935221,10.721424293671939,Bar
Majorstuen,59.9291529,10.7153089,La Såda,59.92809791515349,10.721673195790236,Pizza Place
Majorstuen,59.9291529,10.7153089,Mad Fork,59.928973978333275,10.718298410343753,Comfort Food Restaurant
Majorstuen,59.9291529,10.7153089,Det Norske Studentersamfund (Chateau Neuf),59.93230854484658,10.712410345305422,Theater
Majorstuen,59.9291529,10.7153089,Sushi & Wok,59.92980794975029,10.711668813283355,Asian Restaurant
Majorstuen,59.9291529,10.7153089,XXL Sport & Villmark,59.93086919805978,10.711241348548276,Sporting Goods Shop
Majorstuen,59.9291529,10.7153089,Yaya's,59.92613249222808,10.719584926385505,Thai Restaurant
Majorstuen,59.9291529,10.7153089,Karabista,59.9282289172626,10.70878846733062,Café
Majorstuen,59.9291529,10.7153089,Oslo Kino,59.929925621402695,10.71115493774414,Multiplex
Majorstuen,59.9291529,10.7153089,Colosseum Park,59.928637554389375,10.710071637374412,Shopping Plaza
Majorstuen,59.9291529,10.7153089,Evo Fitness,59.931073362089485,10.709946933716934,Gym
Majorstuen,59.9291529,10.7153089,Tørteberg kunstgress,59.93315276255505,10.712653050873747,Soccer Field
Uranienborg,59.920435600000005,10.7210202,Flâneur Foods,59.919153346049136,10.719089644324388,Deli / Bodega
Uranienborg,59.920435600000005,10.7210202,Mocca Kaffebar & Brenneri,59.91937862789722,10.718841884427981,Coffee Shop
Uranienborg,59.920435600000005,10.7210202,Bonita,59.919847,10.718208,Café
Uranienborg,59.920435600000005,10.7210202,Bokbacka,59.917795,10.718433,Scandinavian Restaurant
Uranienborg,59.920435600000005,10.7210202,Barry's Bootcamp,59.920432,10.727309,Gym / Fitness Center
Uranienborg,59.920435600000005,10.7210202,Sawan,59.91880107621177,10.715841354056133,Asian Restaurant
Uranienborg,59.920435600000005,10.7210202,Saga Hotel,59.922921586235496,10.720314826648313,Hotel
Uranienborg,59.920435600000005,10.7210202,Vinmonopolet (Briskeby),59.920688121045536,10.717096347084478,Wine Shop
Uranienborg,59.920435600000005,10.7210202,Uranienborgparken,59.92168890757367,10.720939636230469,Park
Uranienborg,59.920435600000005,10.7210202,Åpent Bakeri,59.916696134759384,10.720426902841382,Bakery
Uranienborg,59.920435600000005,10.7210202,Litteraturhuset,59.92038503927393,10.728340389371375,General Entertainment
Uranienborg,59.920435600000005,10.7210202,Fyr,59.9236258959627,10.726194158938732,Restaurant
Uranienborg,59.920435600000005,10.7210202,Kaffebrenneriet,59.922081,10.727232,Coffee Shop
Uranienborg,59.920435600000005,10.7210202,Plah Bar & Restaurant,59.9203516401329,10.72996630508937,Thai Restaurant
Uranienborg,59.920435600000005,10.7210202,Pizza Pancetta,59.92108057657287,10.71666948816128,Pizza Place
Uranienborg,59.920435600000005,10.7210202,Kiwi Briskeby,59.92261227646797,10.715704135065607,Convenience Store
Uranienborg,59.920435600000005,10.7210202,Juels 33 kolonial,59.917514,10.715817,Grocery Store
Uranienborg,59.920435600000005,10.7210202,Campo De Fiori,59.923138,10.726022,Italian Restaurant
Uranienborg,59.920435600000005,10.7210202,Plah Home,59.919879,10.718338,Thai Restaurant
Uranienborg,59.920435600000005,10.7210202,Oslo Mikrobryggeri,59.924401657259516,10.724105103196088,Brewery
Uranienborg,59.920435600000005,10.7210202,COS,59.92167256739645,10.727224351643448,Clothing Store
Uranienborg,59.920435600000005,10.7210202,Frogner House Apartments,59.91662664950897,10.716384607034946,Hotel
Uranienborg,59.920435600000005,10.7210202,Kaffebrenneriet,59.920671529695696,10.728304033403942,Coffee Shop
Uranienborg,59.920435600000005,10.7210202,Brasserie Blanche,59.92331767987805,10.725931156412383,French Restaurant
Uranienborg,59.920435600000005,10.7210202,Arte Pazza,59.92112976751503,10.729057150649306,Pizza Place
Uranienborg,59.920435600000005,10.7210202,Bikram Yoga,59.922099893032204,10.729157611765482,Yoga Studio
Uranienborg,59.920435600000005,10.7210202,Mabou,59.92130344202423,10.72739920554619,Cocktail Bar
Uranienborg,59.920435600000005,10.7210202,Espresso House,59.9205328,10.7275397,Café
Uranienborg,59.920435600000005,10.7210202,Cafe Lorry,59.92056,10.72875,Bar
Uranienborg,59.920435600000005,10.7210202,Kiwi,59.92206611765547,10.72741766100397,Grocery Store
Uranienborg,59.920435600000005,10.7210202,Rust,59.9204930696182,10.7296925026881,Tapas Restaurant
Uranienborg,59.920435600000005,10.7210202,Cochs Pensjonat,59.9205414,10.7280795,Bed & Breakfast
Uranienborg,59.920435600000005,10.7210202,Horgan's,59.92111300423592,10.72779530610862,Sports Bar
Uranienborg,59.920435600000005,10.7210202,Trafalgar Pub,59.92181905126517,10.727053522379592,Pub
Uranienborg,59.920435600000005,10.7210202,Filippa K,59.9209484,10.7283501,Clothing Store
Ekebergskråningen,59.8915578,10.763133999999999,Ekebergskråningen Naturreservat,59.8904586897675,10.761380298043523,Scenic Lookout
Ekebergskråningen,59.8915578,10.763133999999999,Café Utsikten,59.89253215789286,10.762696266174316,Café
Ekebergskråningen,59.8915578,10.763133999999999,Sydhavna,59.88936208906633,10.763258271633484,Port
Ekebergskråningen,59.8915578,10.763133999999999,Hundesletta,59.894158,10.765179,Dog Run
